Lexem,Genus,Worttrennung,IPA,Wortart,Nomen
Kredit,mnf,Kre·dit,kʁeˈdiːt,Substantiv,TRUE
Kredit,nnf,Kre·dit,kʁeˈdiːt,Substantiv,TRUE
Kredit,nnf,Kre·dit,ˈkʁeːdɪt,Substantiv,TRUE
Mut,mnf,Mut,muːt,Substantiv,TRUE
Heroin,nmf,He·ro·in,heʁoˈiːn,Substantiv,TRUE
Heroin,fmf,He·ro·in,heʁoˈiːn,Substantiv,TRUE
Heroin,fmf,He·ro·in,heˈʁoːɪn,Substantiv,TRUE
Lurch,mmf,Lurch,lʊʁç,Substantiv,TRUE
Lurch,mmf,Lurch,luɐ̯x,Substantiv,TRUE
MP,mnf,MP3-Play·er,ɛmpeːˈdʁaɪ̯ˌplɛɪ̯ɐ,Substantiv,TRUE
MP,mnf,MP3,,Substantiv,TRUE
MP,fnf,MP3,,Substantiv,TRUE
Boulevard,mff,Bou·le·vard,buləˈvaːɐ̯,Substantiv,TRUE
Boulevard,mff,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Spass,mff,Spass,ʃpaːs,Substantiv,TRUE
Spass,mff,Spass,ʃpas,Substantiv,TRUE
Burren,mmf,Bur·ren,ˈbʊʁən,Substantiv,TRUE
Burren,mmf,Bur·ren,ˈbʌɹən,Substantiv,TRUE
Handball,mmf,Hand·ball,ˈhantˌbal,Substantiv,TRUE
Handball,mmf,Hand·ball,ˈhantbal,Substantiv,TRUE
Glans,fnf,Glans,ɡlaːns,Substantiv,TRUE
Glans,fnf,Glans,ɡlans,Substantiv,TRUE
Objektiv,nnf,Ob·jek·tiv,ˌɔpjɛkˈtiːf,Substantiv,TRUE
Objektiv,mnf,Ob·jek·tiv,ˌɔpjɛkˈtiːf,Substantiv,TRUE
Objektiv,mnf,Ob·jek·tiv,ˈɔpjɛkˌtiːf,Substantiv,TRUE
Lee,fnf,Lee,leː,Substantiv,TRUE
Lee,mnf,Lee,leː,Substantiv,TRUE
Lee,mnf,Lee,,Substantiv,TRUE
Aa,fnf,Aa,aː,Substantiv,TRUE
Aa,nnf,Aa,aː,Substantiv,TRUE
Aa,nnf,Aa,aˈʔa,Substantiv,TRUE
Fluor,nff,Flu·or,ˈfluːoːɐ̯,Substantiv,TRUE
Fluor,mff,Flu·or,ˈfluːoːɐ̯,Substantiv,TRUE
Fluor,mff,Flu·or,ˈfluoɐ̯,Substantiv,TRUE
Rom,mff,Rom,ʁoːm,Substantiv,TRUE
Rom,mff,Rom,ʁɔm,Substantiv,TRUE
Weizen,mnf,Wei·zen,ˈvaɪ̯t͡sn̩,Substantiv,TRUE
Weizen,nnf,Wei·zen,ˈvaɪ̯t͡sn̩,Substantiv,TRUE
Weizen,nnf,Wei·zen,ˈvaɪ̯tsn̩,Substantiv,TRUE
Gros,nnf,Gros,ɡʁɔs,Substantiv,TRUE
Gros,nnf,Gros,ɡʁoː,Substantiv,TRUE
Gros,mnf,Gros,ɡʁoː,Substantiv,TRUE
Gros,mnf,Gros,,Substantiv,TRUE
Rock,mmf,Rock,ʁɔk,Substantiv,TRUE
Rock,mmf,Rock,ʁɔk,Substantiv,TRUE
Hub,mmf,Hub,huːp,Substantiv,TRUE
Hub,mmf,Hub,hʌb,Substantiv,TRUE
Fon,nnf,Fon,foːn,Substantiv,TRUE
Fon,nnf,Fon,,Substantiv,TRUE
Fon,{{Deutsch Name Übersichtn}}nf,Fon,,Substantiv,TRUE
Fon,mnf,Fon,,Substantiv,TRUE
Fon,mff,Fon,,Substantiv,TRUE
Fon,mff,Fon,fɔn,Substantiv,TRUE
