Lexem,keep,Genus,Worttrennung,IPA,Wortart,Nomen
Aa,n,f,Aa,aː,Substantiv,TRUE
Aa,n,n,Aa,aː,Substantiv,TRUE
Aa,n,n,Aa,aˈʔa,Substantiv,TRUE
Abessinien,n,f,Abes·si·ni·en,abɛˈsiːni̯ən,Substantiv,TRUE
Abessinien,n,n,Abes·si·ni·en,abɛˈsiːni̯ən,Substantiv,TRUE
Abessinien,n,n,Abes·si·ni·en,,Substantiv,TRUE
Abteiltüre,y,f,Ab·teil·tü·re,apˈtaɪ̯lˌtyːʁə,Substantiv,TRUE
Abteiltüre,n,f,Ab·teil·tü·re,:{{IPA|AT {{Lautschrift|ˈaptaɪ̯lˌtyːʁə}},Substantiv,TRUE
Affenzahn,y,m,Af·fen·zahn,ˈafn̩ˌt͡saːn,Substantiv,TRUE
Affenzahn,n,m,Af·fen·zahn,:{{IPA  {{Lautschrift|ˌafn̩ˈt͡saːn}},Substantiv,TRUE
Agar,n,f,Agar,aɡaʁ,Substantiv,TRUE
Agar,y,mn,Agar,aɡaʁ,Substantiv,TRUE
Agar,n,n,Agar,,Substantiv,TRUE
Altai,y,m,Al·tai,alˈtaɪ̯,Substantiv,TRUE
Altai,n,m,Al·tai,,Substantiv,TRUE
Alter,n,m,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,n,n,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,n,n,Al·ter,ˈaltɐ,Substantiv,TRUE
Alternative,y,f,Al·ter·na·ti·ve,ˌaltɛʁnaˈtiːvə,Substantiv,TRUE
Alternative,n,f,Al·ter·na·tive,ˌaltɛʁnaˈtiːvə,Substantiv,TRUE
Alternative,n,f,Al·ter·na·tive,,Substantiv,TRUE
Ammon,n,m,Am·mon,,Substantiv,TRUE
Ammon,n,n,Am·mon,,Substantiv,TRUE
Ammon,y,n,Am·mon,aˈmoːn,Substantiv,TRUE
Antezedenzien,y,f,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,n,0,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,n,0,{{kSg.}},antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Anthrax,n,m,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,y,nm,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,n,n,An·th·rax,:{{IPA{{Lautschrift|ˈantʁaks}},Substantiv,TRUE
Arnis,n,f,Ar·nis,,Substantiv,TRUE
Arnis,n,n,Ar·nis,,Substantiv,TRUE
Arnis,n,n,Arnis,,Substantiv,TRUE
Artilleriegeschoss,y,n,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃɔs,Substantiv,TRUE
Artilleriegeschoss,n,n,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃoːs,Substantiv,TRUE
Assi,y,m,As·si,ˈazi,Substantiv,TRUE
Assi,n,m,As·si,ˈasi,Substantiv,TRUE
Attitude,y,f,At·ti·tude,atiˈtyːd,Substantiv,TRUE
Attitude,n,f,At·ti·tu·de,atiˈtyːd,Substantiv,TRUE
Attitude,n,f,At·ti·tu·de,,Substantiv,TRUE
Augustus,n,m,Au·gus·tus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Augustus,n,m,Au·gu·stus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Baba,n,f,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,y,m,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,n,m,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,n,f,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,n,f,Ba·ba,,Substantiv,TRUE
Bacile,n,n,Ba·ci·le,baˈt͡ʃiːlə,Substantiv,TRUE
