Lexem,Genus,Worttrennung,IPA,Silbenzahl
"0,2-Liter-Flasche",f,,nʊlkɔmat͡svaɪ̯ˈliːtɐˌflaʃə,NA
"0,33-Liter-Flasche",f,,nʊlkɔmadʁaɪ̯dʁaɪ̯ˈliːtɐˌflaʃə,NA
"0,5-Liter-Flasche",f,,nʊlkɔmafʏnfˈliːtɐˌflaʃə,NA
"0,7-Liter-Flasche",f,,nʊlkɔmaziːbn̩ˈliːtɐˌflaʃə,NA
"0,75-Liter-Flasche",f,,nʊlkɔmaziːbn̩fʏnfˈliːtɐˌflaʃə,NA
"1,2,3-Propentricarbonsäure",f,,,NA
"1,2-Benzoldicarbonsäure",f,,,NA
"1,2-Butandiol",n,,,NA
"1,2-Dihydroxypropan",n,,,NA
"1,2-Propandiol",n,,,NA
"1,2-Propylenglycol",n,,,NA
"1,4-Benzoldicarbonsäure",f,,,NA
"1,4-Butandiol",n,,,NA
"1,6-Liter-Benziner",m,,ˈaɪ̯ns,NA
1-Benzolethansäure,f,,,NA
1-Butanol,n,,,NA
1-Cent-Münze,f,,aɪ̯nˈsɛntˌmʏnt͡sə,NA
1-Cent-Stück,n,,aɪ̯nˈsɛntˌʃtʏk,NA
1-Dodecanol,n,,,NA
1-Euro-Job,m,,aɪ̯nˈʔɔɪ̯ʁod͡ʒɔp,NA
1-Euro-Jobber,m,,ˌaɪ̯nˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,NA
1-Euro-Münze,f,,aɪ̯nˈʔɔɪ̯ʁoˌmʏnt͡sə,NA
1-Euro-Stück,n,,aɪ̯nˈʔɔɪ̯ʁoˌʃtʏk,NA
1-Hexanol,n,,,NA
1-Pentanol,n,,,NA
1-Raum-Wohnung,f,,ˈaɪ̯nʁaʊ̯mˌvoːnʊŋ,NA
1-Zimmer-Wohnung,f,,aɪ̯nˈt͡sɪmɐˌvoːnʊŋ,NA
1. Korintherbrief,m,,ˌeːɐ̯stɐ,NA
10-Cent-Münze,f,,t͡seːnˈsɛntˌmʏnt͡sə,NA
10-Cent-Stück,n,,t͡seːnˈsɛntˌʃtʏk,NA
10-Euro-Schein,m,,t͡seːnˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
10-Franken-Note,f,,t͡seːnˈfʁaŋkn̩ˌnoːtə,NA
10-Franken-Schein,m,,t͡seːnˈfʁaŋkn̩ˌʃaɪ̯n,NA
10-Mark-Schein,m,,t͡seːnˈmaʁkˌʃaɪ̯n,NA
10-Pfennig-Stück,n,,t͡seːnˈp͡fɛnɪçˌʃtʏk,NA
10-Uhr-Vorstellung,f,,t͡seːnˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
10-Uhr-Zug,m,,t͡seːnˈʔuːɐ̯ˌt͡suːk,NA
100-Euro-Schein,m,,hʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
100-Franken-Note,f,,hʊndɐtˈfʁaŋkn̩ˌnoːtə,NA
100-Franken-Schein,m,,hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,NA
100-Mark-Schein,m,,hʊndɐtˈmaʁkˌʃaɪ̯n,NA
1000-Franken-Note,f,,taʊ̯zn̩tˈfʁaŋkn̩ˌnoːtə,NA
1000-Franken-Schein,m,,taʊ̯zn̩tˈfʁaŋkn̩ˌʃaɪ̯n,NA
1000-Mark-Schein,m,,taʊ̯zn̩tˈmaʁkˌʃaɪ̯n,NA
102-Jährige,f,,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡə,NA
102-Jähriger,m,,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡɐ,NA
11. September,m,,ˌɛlftɐ,NA
"2,3,4,5,6-Pentahydroxyhexansäure",f,,t͡svaɪ̯dʁaɪ̯fiːɐ̯fʏnfzɛksˌpɛntahydʁɔksyhɛˈksaːnzɔɪ̯ʁə,NA
"2,3-Dihydroxybernsteinsäure",f,,,NA
"2,3-Dihydroxybutandisäure",f,,,NA
"2,4,6-Trihydroxypyrimidin",n,,,NA
"2,4,6-Trinitrophenol",n,,,NA
"2,6,8-Trihydroxypurin",n,,,NA
2-Acetoxybenzoesäure,f,,,NA
2-Amino-3-methylbutansäure,f,,,NA
2-Aminobutandisäure,f,,,NA
2-Aminoisovaleriansäure,f,,,NA
2-Butanon,n,,,NA
2-Butin,n,,ˌt͡svaɪ̯buˈtiːn,NA
2-Cent-Münze,f,,t͡svaɪ̯ˈsɛntˌmʏnt͡sə,NA
2-Cent-Stück,n,,t͡svaɪ̯ˈsɛntˌʃtʏk,NA
2-Euro-Münze,f,,t͡svaɪ̯ˈʔɔɪ̯ʁoˌmʏnt͡sə,NA
2-Euro-Stück,n,,t͡svaɪ̯ˈʔɔɪ̯ʁoˌʃtʏk,NA
2-Hexanol,n,,,NA
2-Hydroxybenzoesäure,f,,,NA
2-Hydroxypropansäure,f,,,NA
2-Mark-Schein,m,,t͡svaɪ̯ˈmaʁkˌʃaɪ̯n,NA
2-Methyl-1-propanol,n,,,NA
2-Methyl-2-propanol,n,,,NA
2-Oxopropansäure,f,,,NA
2-Propanol,n,,ˌt͡svaɪ̯pʁopaˈnoːl,NA
2-Propen-1-ol,n,,,NA
2-Propenal,n,,ˈt͡svaɪ̯pʁopeˌnaːl,NA
2-Propenol,n,,,NA
2. Korintherbrief,m,,ˌt͡svaɪ̯tɐ,NA
20-Cent-Münze,f,,t͡svant͡sɪçˈsɛntˌmʏnt͡sə,NA
20-Cent-Stück,n,,t͡svant͡sɪçˈsɛntˌʃtʏk,NA
20-Euro-Schein,m,,t͡svant͡sɪçˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
20-Franken-Note,f,,t͡svant͡sɪçˈfʁaŋkn̩ˌnoːtə,NA
20-Franken-Schein,m,,t͡svant͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,NA
20-Mark-Schein,m,,t͡svant͡sɪçˈmaʁkˌʃaɪ̯n,NA
200-Euro-Schein,m,,t͡svaɪ̯hʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
200-Franken-Note,f,,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌnoːtə,NA
200-Franken-Schein,m,,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,NA
200-Mark-Schein,m,,t͡svaɪ̯hʊndɐtˈmaʁkˌʃaɪ̯n,NA
24-Stunden-Rennen,n,,fiːɐ̯ʔʊntt͡svant͡sɪçˈʃtʊndn̩ˌʁɛnən,NA
"3,4,5-Trihydroxybenzoesäure",f,,,NA
3-D-Drucker,m,,dʁaɪ̯ˈdeːˌdʁʊkɐ,NA
3-Hexanol,n,,,NA
3-Phenylacrylsäure,f,,,NA
3-Uhr-Vorstellung,f,,dʁaɪ̯ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
3-Uhr-Zug,m,,dʁaɪ̯ˈʔuːɐ̯ˌt͡suːk,NA
4-Amino-1-benzolsulfonsäure,f,,,NA
